Site,Bac_q0,Bac_q1,Bac_q2,Bac_obs_mpd,Ampd_null_mean.x,Ampd_null_sd.x,Bac_Ampti,Bac_Ampti_p,HNF_q0,HNF_q1,HNF_q2,HNF_obs_mpd,Ampd_null_mean.y,Ampd_null_sd.y,HNF_Ampti,HNF_Ampti_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2243St01,481.581,105.134,34.015,0.329864552,0.33264109,0.01445684,-0.192057082,0.423848746,42.106,22.918,16.163,0.184690226,0.22241425,0.019316192,-1.952974152,0.025411329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2243St03,385.427,83.121,32.66,0.324211936,0.332449715,0.015200783,-0.541931231,0.293932941,36.982,14.025,7.585,0.106305309,0.20666671,0.026018839,-3.857259007,5.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2243St05,398.518,136.062,66.808,0.317715806,0.337919413,0.011254293,-1.795191177,0.036311623,29.495,14.944,10.077,0.117112081,0.213273774,0.024927214,-3.857699117,5.72E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2243St07,274.75,61.433,31.461,0.293290017,0.332385347,0.016454294,-2.37599557,0.008750836,12.249,5.366,3.469,0.08886687,0.169809318,0.03198271,-2.530818906,0.005689829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2243St09,386.877,86.06,43.453,0.306460787,0.335561358,0.013761006,-2.114712515,0.017227229,37.106,14.64,7.968,0.066756495,0.207614123,0.024626792,-5.719690563,5.34E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2243St11,406.013,108.148,54.039,0.311924099,0.336945942,0.012542754,-1.994924182,0.023025575,11,7.182,5.554,0.06440592,0.194866254,0.032050262,-4.070491972,2.35E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2245St01,287.97,86.705,38.984,0.312180118,0.333912477,0.014670731,-1.481341286,0.069257826,18.243,7.737,5.04,0.026954077,0.191959557,0.0295427,-5.585321495,1.17E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2245St03,376.683,94.316,42.337,0.326115071,0.334851771,0.013991551,-0.624426829,0.266173655,46.106,20.76,10.195,0.118839407,0.21452465,0.022704147,-4.214438911,1.25E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2245St05,288.478,47.128,16.18,0.280651407,0.322582301,0.020240846,-2.071597893,0.019151478,59.483,34.861,22.728,0.201912652,0.226381848,0.017270595,-1.416812507,0.078268876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2245St07,506.59,108.621,46.989,0.318458845,0.33607273,0.013819909,-1.274529777,0.101237863,36.486,18.323,12.229,0.14444444,0.218185478,0.023013822,-3.204206517,0.000677176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2245St09,492.04,134.944,60.149,0.312907472,0.337828342,0.012022675,-2.072822439,0.019094404,15.498,4.307,2.266,0.082420885,0.132989282,0.025514607,-1.981939102,0.023743028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2245St11,370.469,106.359,41.088,0.310824738,0.335020669,0.014001876,-1.728049189,0.041989703,21.154,3.577,2.429,0.031080259,0.139199468,0.039969175,-2.705064809,0.003414553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2248St01,339.717,39.011,13.351,0.289041827,0.317203947,0.022105286,-1.273999373,0.101331819,16.991,6.566,5.097,0.089479841,0.192846093,0.032116131,-3.218515094,0.000644281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2248St03,443.643,117.277,58.13,0.322442705,0.336954809,0.011959407,-1.213446787,0.112479524,63.539,41.837,26.811,0.223045696,0.228169288,0.015603061,-0.328370935,0.371315608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2248St05,273.234,71.335,34.44,0.286813102,0.332628751,0.01539905,-2.975225593,0.001463866,44.985,17.11,10.064,0.172851787,0.213426077,0.023943187,-1.694606873,0.045075011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2248St07,335.071,63.039,27.841,0.302419666,0.331979654,0.018088843,-1.634155821,0.051113068,50.483,24.43,15.428,0.151990174,0.222859676,0.020470796,-3.461980751,0.000268108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2248St09,328.674,79.585,30.509,0.310351429,0.332290762,0.016882812,-1.299507006,0.096884995,17.994,7.592,4.739,0.052500237,0.187639959,0.030045549,-4.49782838,3.43E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Or2Cr2248St11,353.058,34.15,9.231,0.234520117,0.307209124,0.025622752,-2.836893029,0.002277744,39.071,21.622,15.739,0.111807883,0.220891873,0.021024495,-5.188423759,1.06E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
