,Or2Cr2014St01,Or2Cr2014St03,Or2Cr2014St05,Or2Cr2014St07,Or2Cr2014St09,Or2Cr2014St11,Or2Cr2023St03,Or2Cr2023St05,Or2Cr2023St07,Or2Cr2023St09,Or2Cr2023St11,Or2Cr2039St01,Or2Cr2039St03,Or2Cr2039St05,Or2Cr2039St07,Or2Cr2039St09,Or2Cr2039St11,Or2Cr2046St01,Or2Cr2046St03,Or2Cr2046St05,Or2Cr2046St07,Or2Cr2046St09,Or2Cr2046St11,Or2Cr2053St01,Or2Cr2053St03,Or2Cr2053St05,Or2Cr2053St07,Or2Cr2053St09,Or2Cr2053St11,Or2Cr2099St01,Or2Cr2099St03,Or2Cr2099St05,Or2Cr2099St07,Or2Cr2099St09,Or2Cr2099St11,Or2Cr2109St01,Or2Cr2109St03,Or2Cr2109St05,Or2Cr2109St07,Or2Cr2109St09,Or2Cr2109St11,Or2Cr2164St01,Or2Cr2164St03,Or2Cr2164St05,Or2Cr2164St07,Or2Cr2164St09,Or2Cr2164St11,Or2Cr2183St01,Or2Cr2183St03,Or2Cr2183St05,Or2Cr2183St07,Or2Cr2183St09,Or2Cr2183St11,Or2Cr2192St01,Or2Cr2192St03,Or2Cr2192St05,Or2Cr2192St07,Or2Cr2192St09,Or2Cr2192St11,Or2Cr2241St01,Or2Cr2241St03,Or2Cr2241St05,Or2Cr2241St07,Or2Cr2241St09,Or2Cr2241St11,Or2Cr2243St01,Or2Cr2243St03,Or2Cr2243St05,Or2Cr2243St07,Or2Cr2243St09,Or2Cr2243St11,Or2Cr2245St01,Or2Cr2245St03,Or2Cr2245St05,Or2Cr2245St07,Or2Cr2245St09,Or2Cr2245St11,Or2Cr2248St01,Or2Cr2248St03,Or2Cr2248St05,Or2Cr2248St07,Or2Cr2248St09,Or2Cr2248St11
234,0,0,27,0,49,45,0,14,0,72,161,0,0,0,0,136,33,0,0,18,0,40,88,0,0,55,0,75,41,0,0,112,79,263,1274,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,15,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,0,5,22,22,32,282,0,53,102,6,23,2,6,20,70,6,11,0,0,5,0,0,4,0,0,0,20,2,41,11,18,78,88,164,27,0,0,0,0,0,0,88,0,82,74,13,0,5,0,0,25,0,0,0,0,74,22,105,2,43,13,76,44,22,48,52,87,73,79,165,63,28,7,37,0,1,26,265,30,0,64,49,102
237,0,0,0,0,72,125,0,0,0,0,0,162,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,549,0,0,0,154,0,361,0,0,0,0,370,0,0,0,0,0,304,354,93,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
245,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,40,173,38,39,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,260,0,40,130,0,0,0,0,169,0,42,52,109,79,0,0,0,338,64,546,92,559
246,39,0,0,0,100,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8,0,0,21,0,6,0,92,0,0,58,200,31,93,0,0,0,38,25,0,0,17,16,105,80,0,0,21,0,0,106,63,44,38,0,29,0,0,22,37,61,0,0,0,501,288,534,87,38
247,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,90,0,0,0,0,117,0,214,0,0,0,0,0,0,0,0,2027,0,0,0,0,0
250,0,0,0,0,32,155,0,52,52,0,53,0,0,18,21,39,0,0,0,0,0,0,29,0,0,0,0,32,46,0,0,0,67,137,0,0,0,0,0,44,41,0,0,48,40,0,69,78,71,0,51,0,150,0,0,0,0,0,0,49,0,357,88,80,225,0,0,0,75,0,37,0,0,94,0,79,17,0,0,0,62,0,265
252,0,0,38,38,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,19,0,0,32,0,20,15,0,0,0,0,32,23,0,0,0,0,0,0,0,0,39,82,256,0,0,0,71,50,78,0,0,0,67,33,0,39,0,33,56,55,0,210,0,0,117,0,72,36,0,41,121,98,0,23,0,200,153,371,158,35
261,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,26,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,83,68,0,0,0,0,24,60,0,0,159,0,0,108,0,0,250,0,233,41,0,28,17,158,0,0,0,36,43,918,228,0
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,906,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,601,0,0,0
263,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,120,31,0,0,0,0,0,0,0,0,0,0,0,42,0,97,166,381,218,126,115,0,117,68,113,168,31,54,80,116,0,42,0,0,86,0,0,0,309
271,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,489,0,0,0,0,0,1850,0,0,0,0,0
